city,2025_risk,2026_risk,2027_risk,2028_risk,2029_risk,2030_risk
City of Caloocan,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
City of Las Piñas,High,Moderate,Moderate,Moderate,Moderate,Moderate
City of Makati,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
City of Malabon,High,Moderate,Moderate,Moderate,Moderate,Moderate
City of Mandaluyong,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
City of Manila,High,High,High,High,High,High
City of Marikina,Low,Very High,Very High,Very High,Very High,Very High
City of Muntinlupa,Low,Moderate,Moderate,Moderate,Moderate,High
City of Navotas,High,Moderate,Moderate,Moderate,High,High
City of Parañaque,High,Moderate,Moderate,Moderate,Moderate,Moderate
City of Pasay,High,Moderate,Moderate,Moderate,Moderate,High
City of Pasig,Low,Moderate,Moderate,Moderate,Moderate,Moderate
City of Quezon,Low,Moderate,Moderate,Moderate,Moderate,High
City of San Juan,Moderate,Moderate,Moderate,Moderate,Moderate,High
City of Taguig,Low,Very High,Very High,Very High,Very High,High
City of Valenzuela,Moderate,High,High,High,High,Very High
Pateros,Low,Moderate,Moderate,Moderate,Moderate,High
